group_no,sl_no,rpm,load,h,v_fuel,v_water_engine,v_water_cal,t1,t2,t3,t4,t5,t6,comp_ratio,ip,cylinders,strokes,fuel,dia_orifice,dia_cyl,stroke_length,dynamo_arm_length
1,a,3200,0.1,7,10.8,,,,,,,,,9:1,1.43,1,4,petrol,16,57,68,185
,b,2700,1.3,7,12,,,,,,,,,9:1,1.87,,,,,,,
2,a,3160,0.5,4,10.8,,,,,,,,,9:1,1.52,,,,,,,
,b,2590,1.2,8,11.2,,,,,,,,,9:1,1.76,,,,,,,
3,a,3206,0.4,8,10,,,,,,,,,9:1,1.42,,,,,,,
,b,2671,1.2,8,11,,,,,,,,,9:1,1.74,,,,,,,
4,a,3150,0.1,6,12,,,,,,,,,9:1,1.75,,,,,,,
,b,2280,1,6,10.4,,,,,,,,,9:1,0.45,,,,,,,
5,a,3170,0.3,10,10.4,,,,,,,,,9:1,1.55,,,,,,,
,b,2555,1.5,8,11.4,,,,,,,,,9:1,1.92,,,,,,,
6,a,3110,0.7,8,11.6,,,,,,,,,9:1,1.64,,,,,,,
,b,2460,1.7,8,12,,,,,,,,,9:1,1.92,,,,,,,
