group_no,sl_no,rpm,load,h,v_fuel,v_water_engine,v_water_cal,t1,t2,t3,t4,t5,t6,comp_ratio,ip,cylinders,strokes,fuel,dia_orifice,dia_cyl,stroke_length,dynamo_arm_length
1,a,1556,2,90,10.6,300,65,27,34,27,36,175,157,18:1,1.8,1,4,diesel,20,88,110,185
,b,1534,8,83,16.2,300,65,27,45,27,42,192,167,18:1,3.95,,,,,,,
2,a,1553,3,90,11.6,300,65,27,36,27,37,186,145,18:1,2.5,,,,,,,
,b,1544,5.5,86,13.6,300,65,27,39,27,40,195,168,18:1,3.3,,,,,,,
3,a,1549,4,88,12.4,300,65,,,,,,,18:1,,,,,,,,
,b,1536,7,86,15.6,300,65,,,,,,,18:1,,,,,,,,
4,a,1562,0.5,88,10,90,110,,,,,,,18:1,0.35,,,,,,,
,b,1526,10,82,19,80,110,,,,,,,18:1,4.25,,,,,,,
5,a,1556,1,90,10.1,300,60,,,,,,,18:1,0.95,,,,,,,
,b,1543,6,83,14.2,300,70,,,,,,,18:1,3.4,,,,,,,
6,a,1555,2.1,90,10.6,300,65,29,35,29,36,173,149,18:1,1.8,,,,,,,
,b,1530,9.1,86,19,280,80,28.25,40.25,28.25,40.75,261,171,18:1,5.2,,,,,,,
