group_no,sl_no,rpm,load,h,v_fuel,v_water_engine,v_water_cal,t1,t2,t3,t4,t5,t6,comp_ratio,ip,cylinders,strokes,fuel,dia_orifice,dia_cyl,stroke_length,dynamo_arm_length
1,a,1560,2,93,15.8,230,60,,,,,,,13:1,1.1,1,4,diesel,20,88,110,185
1,b,1530,8,88,19.2,230,55,,,,,,,13:1,3.25,,,,,,,
2,a,1540,3,90,14.4,220,50,,,,,,,13:1,2.3,,,,,,,
2,b,1536,5.5,88,15.6,220,50,,,,,,,13:1,2.96,,,,,,,
3,a,1542,4,90,16,230,50,,,,,,,13:1,2.1,,,,,,,
3,b,1530,7,88,18.8,230,50,,,,,,,13:1,3.3,,,,,,,
4,a,1550,0.5,92,13.6,220,55,,,,,,,13:1,0.15,,,,,,,
4,b,1511,10,84,22,220,55,,,,,,,13:1,3.54,,,,,,,
5,a,1547,1,103,14,230,65,,,,,,,13:1,0.55,,,,,,,
5,b,1533,6,100,16.6,220,62,,,,,,,13:1,2.55,,,,,,,
6,a,1542,3,90,14.8,220,50,,,,,,,13:1,2.15,,,,,,,
6,b,1530,6,90,15.6,220,50,,,,,,,13:1,2.65,,,,,,,
