group_no,sl_no,rpm,load,h,v_fuel,v_water_engine,v_water_cal,t1,t2,t3,t4,t5,t6,comp_ratio,ip,cylinders,strokes,fuel,dia_orifice,dia_cyl,stroke_length,dynamo_arm_length
1,a,2054,2,3,12,560,107.5,25,38,25,35.5,231,123,9.2:1,2.25,3,4,petrol,35,66.5,72,210
,b,1800,4,3,22,560,104,25,39.25,25,40,261,156,9.2:1,2.05,,,,,,,
2,a,1650,3,3,18,560,95,25,39.5,25,39,231,141,9.2:1,1.77,,,,,,,
,b,2050,1,2,19.6,560,95,25,39.25,25,40,306,177,9.2:1,1.4,,,,,,,
3,a,1490,1.5,10,0,500,85,,,,,,,,,,,,,,,
,b,1970,3.5,9,28,500,85,,,,,,,,,,,,,,,
4,a,1830,8,3,28,540,75,25,42,25,49.7,318,210,9.2:1,4.35,,,,,,,
,b,2320,5,3,30,520,75,25,25,25,47.2,345,225,9.2:1,3.15,,,,,,,
5,a,2334,2.5,2,24,540,80,,,,,,,,2.72,,,,,,,
,b,1790,5.5,2,32,520,80,,,,,,,,6.86,,,,,,,
6,a,2500,0.1,2,20,540,85,25,41,25,42.75,357,228,9.2:1,2.05,,,,,,,
,b,2200,2,2,22,540,85,25,40.75,25,44.25,351,219,9.2:1,2.45,,,,,,,
