group_no,sl_no,rpm,load,h,v_fuel,v_water_engine,v_water_cal,t1,t2,t3,t4,t5,t6,comp_ratio,ip,cylinders,strokes,fuel,dia_orifice,dia_cyl,stroke_length,dynamo_arm_length
1,a,2500,10.1,36,56,500,100,27.5,52.5,28.75,46.25,240,180,18.5:1,16.85,4,4,diesel,48,75,79.5,270
,b,2119,11.5,36,56,500,100,28.75,52.5,28.75,46,246,192,18.5:1,17.2,,,,,,,
2,a,1347,4.5,10,22,500,60,28.75,40,28.75,40,150,96,18.5:1,9.05,,,,,,,
,b,1310,5.5,10,26,500,60,28.75,40.5,28.75,41.25,156,96,18.5:1,9.15,,,,,,,
3,a,1490,1.5,10,20,500,85,28.75,40.25,28.75,41.25,141,90,18.5:1,9.05,,,,,,,
,b,1980,3.5,9,28,500,85,28.75,44.75,28.75,39.25,171,117,18.5:1,10.25,,,,,,,
4,a,1400,2.4,10,19.33,500,70,28.75,34.25,28.75,31.5,174,102,18.5:1,8.65,,,,,,,
,b,1372,3.5,10,20,500,55,28.75,37.5,28.75,36,177,126,18.5:1,8.72,,,,,,,
5,a,2500,6.5,48,48,520,95,28.75,52.75,28.75,46.75,219,183,18.5:1,12.5,,,,,,,
,b,2100,13.1,28,52,520,95,28.75,53,28.75,46.5,246,189,18.5:1,19.02,,,,,,,
6,a,2245,8,36,48,510,110,28.75,47.5,28.75,40.75,186,141,18.5:1,13.5,,,,,,,
,b,2313,9,36,60,510,97.5,28.75,50.75,28.75,44.25,225,153,18.5:1,15.8,,,,,,,
